Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV ROC AUC
SVM,0.8641304347826086,0.8811881188118812,0.8725490196078431,0.8768472906403941,0.9347202295552368,0.9040259764857405
Logistic Regression,0.8804347826086957,0.8921568627450981,0.8921568627450981,0.8921568627450981,0.9332855093256816,0.9133405306097323
Random Forest,0.8804347826086957,0.8846153846153846,0.9019607843137255,0.8932038834951457,0.9302367288378767,0.8997093862901355
KNN,0.8532608695652174,0.8640776699029126,0.8725490196078431,0.8682926829268293,0.9270683883309422,0.8748504907879597
XGBoost,0.8315217391304348,0.8585858585858586,0.8333333333333334,0.845771144278607,0.9116451458632233,0.8714845803088199
Decision Tree,0.7554347826086957,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.7578909612625538,0.7346399704532863
